date,product,category,price,quantity,revenue
2022-01-01,Smartphone,Electronics,600,10,6000
2022-01-01,Laptop,Electronics,1200,5,6000
2022-01-02,T-Shirt,Clothing,20,50,1000
2022-01-03,Headphones,Electronics,100,20,2000
2022-01-04,T-Shirt,Clothing,20,25,500
2022-01-05,Watch,Accessories,150,10,1500
2022-01-06,Smartphone,Electronics,600,8,4800
2022-01-06,Tablet,Electronics,400,5,2000
2022-01-07,Coat,Clothing,100,10,1000
2022-01-08,Smartwatch,Accessories,200,12,2400
2022-01-09,Speaker,Electronics,80,15,1200
2022-01-10,Backpack,Bags,50,20,1000
2022-01-11,Hoodie,Clothing,40,30,1200
2022-01-12,Smartphone,Electronics,600,12,7200
2022-01-13,Sneakers,Shoes,80,10,800
2022-01-14,Wallet,Accessories,30,40,1200
2022-01-15,Jeans,Clothing,50,20,1000
2022-01-16,Smartwatch,Accessories,200,5,1000
2022-01-17,Smartphone,Electronics,600,6,3600
2022-01-18,Coat,Clothing,100,8,800
2022-01-19,Speaker,Electronics,80,20,1600
2022-01-20,Backpack,Bags,50,15,750
2022-01-21,T-Shirt,Clothing,20,40,800
2022-01-22,Smartphone,Electronics,600,7,4200
2022-01-23,Tablet,Electronics,400,3,1200
2022-01-24,Hoodie,Clothing,40,15,600
2022-01-25,Smartwatch,Accessories,200,8,1600
2022-01-26,Sneakers,Shoes,80,12,960
2022-01-27,Coat,Clothing,100,5,500
2022-01-28,Speaker,Electronics,80,8,640
2022-01-29,T-Shirt,Clothing,20,30,600
2022-01-30,Smartphone,Electronics,600,9,5400
2022-01-31,Jeans,Clothing,50,15,750
2022-02-01,T-Shirt,Clothing,20,35,700
2022-02-02,Smartphone,Electronics,600,10,6000
2022-02-03,Headphones,Electronics,100,25,2500
2022-02-04,Coat,Clothing,100,12,1200
2022-02-05,Watch,Accessories,150,8,1200
2022-02-06,Smartphone,Electronics,600,7,4200
2022-02-07,Speaker,Electronics,80,18,1440
2022-02-08,Backpack,Bags,50,25,1250
2022-02-09,Smartwatch,Accessories,200,6,1200
2022-02-10,Jeans,Clothing,50,10,500
2022-02-11,T-Shirt,Clothing,20,20,400
2022-02-12,Smartphone,Electronics,600,12,7200
2022-02-13,Sneakers,Shoes,80,8,640
2022-02-14,Wallet,Accessories,30,30,900
2022-02-15,Tablet,Electronics,400,4,1600
2022-02-16,Smartwatch,Accessories,200,7,1400
2022-02-17,Smartphone,Electronics,600,6,3600
2022-02-18,Hoodie,Clothing,40,20,800
2022-02-19,Speaker,Electronics,80,12,960
2022-02-20,Backpack,Bags,50,18,900
2022-02-21,Sneakers,Shoes,80,5,400
2022-02-22,Smartphone,Electronics,600,8,4800
